


Start at 28-10-2015, 15:49:32

28-10-2015, 15:49:46cx=118, cy=28, region=F



Start at 28-10-2015, 15:51:10

28-10-2015, 15:58:21cx=287, cy=37, region=R
28-10-2015, 15:58:22cx=287, cy=34, region=R
28-10-2015, 15:58:23cx=287, cy=39, region=R
28-10-2015, 15:58:24cx=288, cy=35, region=R
28-10-2015, 15:58:25cx=287, cy=37, region=R
28-10-2015, 15:58:26cx=287, cy=37, region=R
28-10-2015, 15:58:27cx=286, cy=40, region=R
28-10-2015, 15:58:28cx=286, cy=40, region=R
28-10-2015, 15:58:29cx=156, cy=81, region=F
28-10-2015, 15:58:30cx=286, cy=38, region=R
28-10-2015, 15:58:32cx=287, cy=38, region=R
28-10-2015, 15:58:33cx=156, cy=144, region=F
28-10-2015, 15:58:34cx=246, cy=147, region=R
28-10-2015, 15:58:35cx=235, cy=154, region=R
28-10-2015, 15:58:36cx=243, cy=166, region=R
28-10-2015, 15:58:37cx=241, cy=173, region=R
28-10-2015, 15:58:38cx=255, cy=186, region=R
28-10-2015, 15:58:39cx=256, cy=215, region=R
28-10-2015, 15:58:40cx=255, cy=216, region=R
28-10-2015, 15:58:41cx=255, cy=219, region=R
28-10-2015, 15:58:43cx=259, cy=217, region=R
28-10-2015, 15:58:44cx=260, cy=218, region=R
28-10-2015, 15:58:45cx=259, cy=218, region=R
28-10-2015, 15:58:46cx=255, cy=214, region=R
28-10-2015, 15:58:47cx=254, cy=212, region=R
28-10-2015, 15:58:48cx=178, cy=207, region=R
28-10-2015, 15:58:49cx=182, cy=209, region=R
28-10-2015, 15:58:51cx=181, cy=215, region=R
28-10-2015, 15:58:52cx=-1, cy=-1, region=R
28-10-2015, 15:58:53cx=-1, cy=-1, region=R
28-10-2015, 15:58:54cx=-1, cy=-1, region=R
28-10-2015, 15:58:55cx=-1, cy=-1, region=R
28-10-2015, 15:58:56cx=160, cy=39, region=F
28-10-2015, 15:58:57cx=18, cy=214, region=L
28-10-2015, 15:58:58cx=131, cy=189, region=L
28-10-2015, 15:58:59cx=32, cy=161, region=L
28-10-2015, 15:59:01cx=33, cy=172, region=L
28-10-2015, 15:59:02cx=32, cy=177, region=L
28-10-2015, 15:59:03cx=33, cy=178, region=L
28-10-2015, 15:59:04cx=32, cy=181, region=L
28-10-2015, 15:59:05cx=32, cy=181, region=L
28-10-2015, 15:59:06cx=33, cy=183, region=L
28-10-2015, 15:59:07cx=16, cy=151, region=L
28-10-2015, 15:59:08cx=15, cy=146, region=L
